refcode,formula,z_prime,r_factor,n_atoms,spacegroup
MIWYOG,C13 H16 O1,2.0,5.7,30,P21/c
BUVRAM,"H12 Mg1 O6 2+,2(C5 H4 N3 O2 1-)",0.5,2.6,19,P-1
LICVOM,"C10 H8 N2 O2 Se2,2(C12 H10 N2)",1.0,2.16,24,P-1
ANOXUA,"C7 H21 B1 N3 O1 1+,I1 1-",1.0,2.1,33,P21/n
EMADIJ,C17 H13 F1 N2 O2,1.0,5.7,35,Pbca
GOLPOO,C13 H16 F3 N1 O8 S2,1.0,3.9600000000000004,43,P21
TIRZAX,C8 H11 N1 O2,1.0,4.22,22,P21/n
WOBQOW,"C6 H7 N2 O2 1+,C7 H5 O3 1-",1.0,4.05,17,P21/n
SIRKEL,"C6 H14 N1 O1 1+,C7 H5 O3 1-",1.0,5.17,22,P21/c
LACMUA,C30 H26 N2 O1,1.0,4.24,59,P212121
LAXZIU,C6 Cl2 N2 S2,1.0,5.7,12,P21/c
HURQEQ,C32 H22 S5,1.0,4.0200000000000005,59,P-1
VAWZUQ,C20 H23 N3 O5 S1,1.0,3.39,52,P212121
FUWZOQ,"C19 H19 N3 O3,2(C9 H6 O6)",1.0,6.569999999999999,44,P21/c
BILKIT,"H4 N1 1+,C7 H16 N2 2+,3(Cl1 1-)",1.0,4.93,25,P21
NAGHOT02,C14 H8 N4 O5,1.0,4.88,31,P21/c
IYEQEM,"C10 H17 N6 S1 1+,C3 H3 O4 1-",1.0,6.710000000000001,34,P21/c
TUQGES,C21 H20 N2 O3,1.0,5.41,46,C2/c
VACWUW,"C5 H10 N10 2+,2(Cl1 O4 1-)",1.0,6.1899999999999995,25,P-1
FUJSUZ,C15 H23 N1 O3,1.0,4.12,42,P-1
TORCIP,C17 H18 N5 P1 S1,0.5,2.8400000000000003,42,P21/m
UXIKIW,C19 H18 N2 O3 S1,1.0,7.11,43,P21/c
XOXDUK,C9 H14 N2,1.0,4.44,25,I41/a
JUDCOE,C17 H18 O3,1.0,3.8,38,P21/c
HOHROO,"C22 H13 F1 N2 O1,C1 H2 Cl2",1.0,7.1,39,P21/n
HAQHIQ,C24 H28,0.5,5.2,52,C2/c
ZEYGEP,"C19 H18 P1 1+,C1 H15 B10 Si1 1-",1.0,4.5,38,P212121
XANGAU,C12 H12 N2 O4,0.5,5.3,30,Pnma
LEYMAH,C26 H14 Br1 N1 O2,1.0,3.37,44,P21/c
TUJQOG,C16 H19 O1 P1,1.0,4.43,37,P21
CIXGIZ,C16 H22 O4,0.5,3.6,42,A2/a
GEPPIA,C4 H4 F3 N1 O3,1.0,3.81,15,P21/n
DUBPAV,C22 H26 F1 N1 O1 S1,1.0,6.64,52,P21/c
DARMUI,C22 H24 N2 O2,1.0,4.12,50,P21
EWAKOF,C11 H17 Cl1 N2 O2 S1,1.0,4.68,34,P21/c
LUQQEW,"C2 H4 O2,Cl1 1-,C16 H36 N1 1+",1.0,6.52,53,Pccn
TILZOF,C21 H21 Br1 N2 O2 S1,2.0,2.86,48,P21
ABACAI,C16 H15 N1 O1,2.0,7.0200000000000005,33,P-1
NOGDES,"C24 H22 S6 2+,2(I3 1-)",0.5,3.46,52,P-1
REMWAH,C19 H13 Cl1 O1,1.0,5.63,34,P-1
SOMNAN,"C8 H11 N4 1+,I1 1-",1.0,3.16,23,P21/c
SOTVIH,C21 H18 N2 O1,1.0,4.36,42,P-1
WAKDOB01,"C18 H25 K1 O19,2(H2 O1)",1.0,3.8600000000000003,63,P212121
DUSQEP,C26 H23 N1 O11,1.0,3.6999999999999997,61,P21
AXEBAK,C20 H22 O3,1.0,4.12,45,P21/n
